date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-01-07 23:59:03,CoinDesk,,0,31,21,"The latest Bitcoin Price Index is 459.07 USD http://www.coindesk.com/price/",,,,685249317389623296,https://twitter.com/CoinDesk/status/685249317389623296
2016-01-07 23:45:16,TheBitcoinNews,,0,3,1,"Litecoin Video: Max Keiser talks about Bitcoin and Litecoin on ... - http://bit.ly/1HU4VsX - #bitcoin #breaking",,,#bitcoin #bitcoin #breaking,685245847815192576,https://twitter.com/TheBitcoinNews/status/685245847815192576
2016-01-07 23:44:42,OneFinalAct,,0,2,2,"“Bitstamp Opens Gold Buying Service to European Customers” http://bit.ly/1Z92KH4 #Bitcoin #bitstamp #gold",,,#Bitcoin #Bitcoin #bitstamp #gold,685245706119049216,https://twitter.com/OneFinalAct/status/685245706119049216
2016-01-07 23:43:14,Cogitatorium,,0,3,6,"Rushing home to buy more #Potcoin while the price is so low #cannabis #bitcoin #altcoins #FinTech #MarijuanaStocks",,,#Potcoin #cannabis #bitcoin #bitcoin #altcoins #FinTech #MarijuanaStocks,685245339549339650,https://twitter.com/Cogitatorium/status/685245339549339650
2016-01-07 23:42:08,MrBitc0in,d10e_conference,1,2,3,"This is going to be the best #bitcoin event #Amsterdam has seen in a long time!",,,#bitcoin #bitcoin #Amsterdam,685245063224516608,https://twitter.com/MrBitc0in/status/685245063224516608
2016-01-07 23:40:53,aantonop,,14,23,63,"Who is the ""we"" behind this statement that purports to represent the Bitcoin Core project? https://bitcoin.org/en/bitcoin-core/2016-01-07-statement",,,,685244746764279808,https://twitter.com/aantonop/status/685244746764279808
2016-01-07 23:34:39,aantonop,,1,19,37,"Bitcoin Core released a statement today. Which begs the question: Who is making this statement as representing Bitcoin Core?",,,,685243177188605952,https://twitter.com/aantonop/status/685243177188605952
2016-01-07 23:33:35,OpenECommunity,,0,0,2,"So how do we 'Small People' counteract the established 'Billionaire's Portfolio'? #CrowdFunding, #Bitcoin, boycott Brands, Social Lending",,,#CrowdFunding #Bitcoin #Bitcoin,685242909977915392,https://twitter.com/OpenECommunity/status/685242909977915392
2016-01-07 23:32:10,Bitcoin,,0,9,6,"The banking system faces an existential threat — and it’s not bitcoin ",,,,685242552094748674,https://twitter.com/Bitcoin/status/685242552094748674
2016-01-07 23:31:12,RadiumCore,,1,2,4,"The Radon Project is in beta testing of new blockchain tech. Learn More https://en.wikibooks.org/wiki/XRADON_Supernet https://bitcointalk.org/index.php?topic=1063875.0 #bitcoin #blockchain",,,#bitcoin #bitcoin #blockchain,685242309844271106,https://twitter.com/RadiumCore/status/685242309844271106
