date,retweets,favorites,text,mentions,hashtags,permalink
2018-02-15,3,19,REALIST NEWS - Creeping up to $13k Bitcoin (web bot prediction) - Could happen within a week or so: http://youtu.be/zozxkiMNrTs?a via,,, https://twitter.com/RealistNews/status/964288191816781824
2018-02-15,2,0,Bitcoin Feeling is out! https://paper.li/BitcoinFeeling/1412697551?edition_id=43733a20-12ac-11e8-8d52-0cc47a0d15fd … # Bitcoin Stories via @ JovitaWathen3 @ MistSpark @srurchr53 # bitcoin # cybersecurity,@ @ @srurchr53,# # #, https://twitter.com/BitcoinFeeling/status/964288097050611712
2018-02-15,9,13,Interested in buying # bitcoin? Learn more about $ BTC # blockchain technology and how the # crypto market works on our blog:http://bit.ly/2EGwfAH,,# # #, https://twitter.com/UpholdInc/status/964288074275368960
2018-02-15,5578,19266,If you want to know what bitcoin is I learned about it. A bit. pic.twitter.com/txICiTXYgi,,, https://twitter.com/TheEllenShow/status/964287117466640389
2018-02-15,0,9,Bitcoin (BTC) - Analysis UPDATE https://steemit.com/bitcoin/@benkalashnikov/bitcoin-btc-analysis-update … $ btc # btc # bitcoin # crypto # cryptocurrency # altcoins # xvg # tron # etc,@benkalashnikov,# # # # # # # #, https://twitter.com/BenKalashnikov/status/964286799324557312
2018-02-15,23,69,Lightning is enabling all sorts of new innovations. It’s clear we’ve begun a new era in Bitcoin. https://twitter.com/alexbosworth/status/964276161902624768 …,,, https://twitter.com/WayneVaughan/status/964286648337903616
2018-02-15,1,9,once bitcoin is the new standard currency rappers gon tryna rhyme wit cryptography n multi-coin transaction. shit will be brazy,,, https://twitter.com/bxbyro/status/964286612657106946
2018-02-15,37,187,Updated DG Spreadsheet 2-15-2018. (HTML updated) # crypto # cryptos # cryptosignals # cryptonews # cryptomamba # HODL # HODLgang # bitcoin $ LTC $ ETH https://www.patreon.com/posts/updated-dg-2-15-17023677?utm_medium=social&utm_source=twitter&utm_campaign=postshare …,,# # # # # # # #, https://twitter.com/davidgokhshtein/status/964285792460988416
2018-02-15,0,10,Well some people believe the @ Bitcoin account is official enough to pay for it while other will believe it's a good source for non-biased information. At least one of them is wrong.,@,, https://twitter.com/TylerRogerK/status/964285392798306310
2018-02-15,4,4,The Cost of Coin (Updated) - https://bullion.directory/?p=20010 via @ BullionDir cc @ Macro_View # bitcoin # gold # dollar # fed $ JPM $ BAC $ C $ DFS $ COF,@ @,# # # #, https://twitter.com/Macro_Sense/status/964285254625382400
2018-02-15,6,13,Bitcoin surges back above $10000 about 70% above its Feb. 6 low but still down about 50% from its December high http://on.wsj.com/2o3FYYe via @ paulvigna,@,, https://twitter.com/WSJmarkets/status/964284473381720064
2018-02-15,4,19,Nobody can stop @ DeepOnionx not even China TOR 0.3.3 OBFS4 MEEK ready Enjoy your freedom! Its what everyone should have it is what everyone deserves say no to # goverments # dash # monero # verge # xspect # hush # etn # zcash # bitcoin # u.cashpic.twitter.com/MgxAi3MlT2,@,# # # # # # # # # #, https://twitter.com/Crypto_VokAin/status/964284175007277061
